iter	RMSE
0	175.1126588
1	168.497707
2	162.7965357
3	157.0811665
4	151.930062
5	147.6775783
6	142.9188951
7	139.2906087
8	135.1886162
9	131.6451274
10	128.312617
11	125.188687
12	122.5371572
13	120.0321472
14	117.6642025
15	115.770175
16	114.1271416
17	110.9122507
18	109.3367589
19	107.7292154
20	105.9830233
21	104.7910377
22	103.7355573
23	102.7104257
24	101.7864773
25	99.97152231
26	97.56330737
27	94.93480529
28	92.53329474
29	90.19147785
30	89.33933761
31	87.51820544
32	85.86029677
33	85.19429199
34	83.56802558
35	82.25259299
36	81.28940948
37	79.813623
38	78.76333835
39	78.25180975
40	77.21904822
41	76.78003638
42	76.30447166
43	75.78021754
44	74.60551476
45	74.13597361
46	72.93506821
47	71.83094917
48	71.20671163
49	70.94410468
50	69.97738143
51	69.71848721
52	68.85244833
53	68.4169084
54	67.51576022
55	67.1893135
56	66.80482426
57	66.20693974
58	65.9723013
59	65.36541279
60	64.82391619
61	64.61184323
62	64.39102472
63	63.99599632
64	63.43698221
65	63.24740641
66	63.0709215
67	62.93016762
68	62.32625068
69	62.16835713
70	62.04475244
71	61.27657133
72	61.1148509
73	60.507216
74	60.21896351
75	60.05661474
76	59.92726983
77	59.65392506
78	59.2771673
79	58.9784679
80	58.8576718
81	58.66449708
82	58.27330171
83	58.1213241
84	57.84834771
85	57.61270094
86	57.37831558
87	57.26217536
88	57.15910507
89	56.86904518
90	56.72945271
91	56.5748188
92	56.2905197
93	56.22091985
94	56.16058981
95	55.93870869
96	55.68984593
97	55.38973057
98	55.21074539
99	55.0028896
100	54.88057623
101	54.55441992
102	54.51159463
103	54.44066345
104	54.35486097
105	54.2569058
106	54.05563255
107	53.99205386
108	53.79077684
109	53.67379304
110	53.53892756
111	53.43760795
112	53.20563924
113	53.0639291
114	52.84800978
115	52.73655845
116	52.60454584
117	52.48906447
118	52.38726615
119	52.27580824
120	52.15248624
121	52.06863632
122	51.97563612
123	51.91170612
124	51.82413242
125	51.61268662
126	51.53634908
127	51.46986359
128	51.4183637
129	51.34823787
130	51.17107228
131	51.08943109
132	50.97542016
133	50.93459378
134	50.7933043
135	50.66667861
136	50.60198016
137	50.4162499
138	50.33746055
139	50.17596696
140	50.06716072
141	50.01150357
142	49.9174894
143	49.84420956
144	49.68669517
145	49.61618174
