iter	Passed	Remaining
0	10	10083
1	18	9070
2	26	8696
3	32	7973
4	38	7656
5	46	7760
6	51	7255
7	54	6725
8	57	6336
9	60	6011
10	63	5725
11	66	5471
12	69	5243
13	72	5077
14	74	4898
15	77	4770
16	80	4675
17	84	4593
18	87	4505
19	89	4401
20	92	4328
21	96	4271
22	99	4212
23	101	4141
24	104	4091
25	112	4226
26	116	4198
27	119	4158
28	122	4111
29	126	4085
30	129	4046
31	133	4025
32	136	3990
33	139	3967
34	142	3930
35	146	3916
36	151	3938
37	156	3967
38	160	3947
39	163	3914
40	166	3900
41	172	3930
42	178	3967
43	186	4046
44	193	4112
45	201	4176
46	209	4241
47	213	4236
48	221	4299
49	229	4360
50	236	4404
51	245	4468
52	252	4510
53	259	4542
54	264	4550
55	273	4605
56	281	4654
57	285	4631
58	293	4683
59	301	4722
60	307	4736
61	313	4749
62	321	4785
63	330	4827
64	333	4802
65	343	4865
66	349	4873
67	355	4869
68	361	4883
69	365	4857
70	369	4829
71	373	4807
72	376	4775
73	379	4742
74	382	4716
75	385	4683
76	388	4660
77	391	4627
78	395	4606
79	398	4585
80	406	4612
81	414	4640
82	422	4667
83	428	4670
84	434	4677
85	441	4696
86	445	4678
87	449	4662
88	453	4641
89	455	4608
90	459	4590
91	461	4558
92	465	4538
93	468	4511
94	470	4486
95	474	4466
96	477	4441
97	480	4423
98	483	4398
99	486	4379
100	489	4356
101	492	4339
102	495	4319
103	499	4302
104	502	4280
105	505	4261
106	508	4242
107	511	4221
108	514	4207
109	517	4187
110	521	4174
111	523	4153
112	527	4140
113	532	4141
114	535	4123
115	539	4109
116	542	4090
117	545	4074
118	549	4065
119	551	4044
120	554	4029
121	556	4008
122	560	3996
123	562	3977
124	565	3961
125	569	3950
126	571	3930
127	575	3917
128	577	3900
129	580	3882
130	583	3868
131	586	3853
132	588	3837
133	591	3824
134	594	3812
135	597	3796
136	600	3785
137	605	3782
138	614	3806
139	617	3793
140	620	3779
141	623	3769
142	627	3757
143	633	3766
144	638	3765
145	643	3764
146	650	3774
147	654	3766
148	658	3760
149	662	3753
150	666	3745
151	674	3762
152	679	3760
153	686	3774
154	689	3760
155	693	3750
156	696	3740
157	705	3757
158	708	3748
159	712	3740
160	715	3728
161	718	3716
162	721	3707
163	724	3692
164	728	3685
165	730	3670
166	736	3674
167	739	3661
168	742	3652
169	745	3639
170	748	3629
171	752	3622
172	756	3615
173	766	3639
174	776	3660
175	789	3694
176	793	3688
177	797	3682
178	800	3671
179	803	3660
180	807	3655
181	811	3647
182	816	3644
183	823	3651
184	831	3664
185	836	3661
186	845	3674
187	854	3689
188	857	3681
189	867	3697
190	876	3714
191	883	3717
192	891	3726
193	899	3736
194	903	3728
195	911	3737
196	919	3747
197	927	3757
198	935	3766
199	942	3768
200	949	3775
201	962	3804
202	977	3839
203	983	3835
204	990	3839
205	997	3846
206	1005	3852
207	1010	3848
208	1017	3850
209	1025	3856
210	1032	3862
